query-id	corpus-id	score
q361398900_0	d361398900	1
q699062500_0	d699062500	1
q197123900_0	d197123900	1
q983776300_0	d983776300	1
q878936800_0	d878936800	1
q1113966700_0	d1113966700	1
q912900100_0	d912900100	1
q912900100_1	d912900100	1
q16388500_0	d16388500	1
q654518300_0	d654518300	1
q533141500_0	d533141500	1
q989226700_0	d989226700	1
q528079400_0	d528079400	1
q586652000_0	d586652000	1
q533350300_0	d533350300	1
q1137265400_0	d1137265400	1
q318888800_0	d318888800	1
q318888800_1	d318888800	1
q220269200_0	d220269200	1
q690059200_0	d690059200	1
q687860400_0	d687860400	1
q97128600_0	d97128600	1
q456175700_0	d456175700	1
q97988900_0	d97988900	1
q1102554800_0	d1102554800	1
q1102554800_1	d1102554800	1
q929402300_0	d929402300	1
q469695700_0	d469695700	1
q469695700_1	d469695700	1
q965659500_0	d965659500	1
q273697700_0	d273697700	1
q273697700_1	d273697700	1
q333739200_0	d333739200	1
q333739200_1	d333739200	1
q547349200_0	d547349200	1
q108251800_0	d108251800	1
q649577900_0	d649577900	1
q735022500_0	d735022500	1
q723758000_0	d723758000	1
q16097200_0	d16097200	1
q16097200_1	d16097200	1
q1016796100_0	d1016796100	1
q634284800_0	d634284800	1
q813861900_0	d813861900	1
q635736000_0	d635736000	1
q1131744500_0	d1131744500	1
q1131744500_1	d1131744500	1
q150034900_0	d150034900	1
q125887500_0	d125887500	1
q105204100_0	d105204100	1
q854982300_0	d854982300	1
q721099700_0	d721099700	1
q385063600_0	d385063600	1
q16736800_0	d16736800	1
q16736800_1	d16736800	1
q923896100_0	d923896100	1
q923896100_1	d923896100	1
q464506300_0	d464506300	1
q783379000_0	d783379000	1
q146259800_0	d146259800	1
q1119096600_0	d1119096600	1
q1051217800_0	d1051217800	1
q1059896300_0	d1059896300	1
q237929000_0	d237929000	1
q487289600_0	d487289600	1
q968406100_0	d968406100	1
q579483000_0	d579483000	1
q1038288400_0	d1038288400	1
q1038288400_1	d1038288400	1
q829038500_0	d829038500	1
q829038500_1	d829038500	1
q741245700_0	d741245700	1
q508871200_0	d508871200	1
q740586600_0	d740586600	1
q174637400_0	d174637400	1
q343305700_0	d343305700	1
q343305700_1	d343305700	1
q630347400_0	d630347400	1
q630347400_1	d630347400	1
q827347600_0	d827347600	1
q827347600_1	d827347600	1
q1013972700_0	d1013972700	1
q1118118600_0	d1118118600	1
q891884100_0	d891884100	1
q891884100_1	d891884100	1
