query-id	corpus-id	score
q361398900_0	d361398900	1
q699062500_0	d699062500	1
q197123900_0	d197123900	1
q983776300_0	d983776300	1
q878936800_0	d878936800	1
q1113966700_0	d1113966700	1
q912900100_0	d912900100	1
q912900100_1	d912900100	1
q16388500_0	d16388500	1
q654518300_0	d654518300	1
q533141500_0	d533141500	1
q989226700_0	d989226700	1
q528079400_0	d528079400	1
q586652000_0	d586652000	1
q533350300_0	d533350300	1
q1137265400_0	d1137265400	1
q318888800_0	d318888800	1
q318888800_1	d318888800	1
q220269200_0	d220269200	1
q690059200_0	d690059200	1
q687860400_0	d687860400	1
q97128600_0	d97128600	1
q456175700_0	d456175700	1
q97988900_0	d97988900	1
q1102554800_0	d1102554800	1
q1102554800_1	d1102554800	1
q929402300_0	d929402300	1
q469695700_0	d469695700	1
q469695700_1	d469695700	1
q965659500_0	d965659500	1
q273697700_0	d273697700	1
q273697700_1	d273697700	1
q333739200_0	d333739200	1
q333739200_1	d333739200	1
q547349200_0	d547349200	1
q108251800_0	d108251800	1
q649577900_0	d649577900	1
q735022500_0	d735022500	1
q723758000_0	d723758000	1
q16097200_0	d16097200	1
q16097200_1	d16097200	1
q1016796100_0	d1016796100	1
q634284800_0	d634284800	1
q813861900_0	d813861900	1
q635736000_0	d635736000	1
q1131744500_0	d1131744500	1
q1131744500_1	d1131744500	1
q150034900_0	d150034900	1
q125887500_0	d125887500	1
q105204100_0	d105204100	1
q854982300_0	d854982300	1
q721099700_0	d721099700	1
q385063600_0	d385063600	1
q16736800_0	d16736800	1
q16736800_1	d16736800	1
q923896100_0	d923896100	1
q923896100_1	d923896100	1
q464506300_0	d464506300	1
q783379000_0	d783379000	1
q146259800_0	d146259800	1
q1119096600_0	d1119096600	1
q1051217800_0	d1051217800	1
q1059896300_0	d1059896300	1
q237929000_0	d237929000	1
q487289600_0	d487289600	1
q968406100_0	d968406100	1
q579483000_0	d579483000	1
q1038288400_0	d1038288400	1
q1038288400_1	d1038288400	1
q829038500_0	d829038500	1
q829038500_1	d829038500	1
q741245700_0	d741245700	1
q508871200_0	d508871200	1
q740586600_0	d740586600	1
q174637400_0	d174637400	1
q343305700_0	d343305700	1
q343305700_1	d343305700	1
q630347400_0	d630347400	1
q630347400_1	d630347400	1
q827347600_0	d827347600	1
q827347600_1	d827347600	1
q1013972700_0	d1013972700	1
q1118118600_0	d1118118600	1
q891884100_0	d891884100	1
q891884100_1	d891884100	1
q524166400_0	d524166400	1
q827348200_0	d827348200	1
q827348200_1	d827348200	1
q105223200_0	d105223200	1
q630346200_0	d630346200	1
q630346200_1	d630346200	1
q827344400_0	d827344400	1
q827344400_1	d827344400	1
q756932100_0	d756932100	1
q744435400_0	d744435400	1
q707193700_0	d707193700	1
q198699800_0	d198699800	1
q198699800_1	d198699800	1
q598417900_0	d598417900	1
q496013400_0	d496013400	1
q941153700_0	d941153700	1
q143399000_0	d143399000	1
q184684300_0	d184684300	1
q1078409900_0	d1078409900	1
q162579000_0	d162579000	1
q630353300_0	d630353300	1
q630353300_1	d630353300	1
q187033200_0	d187033200	1
q995543200_0	d995543200	1
q995543200_1	d995543200	1
q633323600_0	d633323600	1
q838189600_0	d838189600	1
q1154396600_0	d1154396600	1
q187089500_0	d187089500	1
q630363600_0	d630363600	1
q630363600_1	d630363600	1
q1066531100_0	d1066531100	1
q1099684100_0	d1099684100	1
q630382000_0	d630382000	1
q630382000_1	d630382000	1
q519785500_0	d519785500	1
q103927100_0	d103927100	1
q1063686000_0	d1063686000	1
q263803200_0	d263803200	1
q242144100_0	d242144100	1
q970248700_0	d970248700	1
q110536000_0	d110536000	1
q1134147700_0	d1134147700	1
q443729300_0	d443729300	1
q332648800_0	d332648800	1
q1116862100_0	d1116862100	1
q617215100_0	d617215100	1
q617215100_1	d617215100	1
q1006867300_0	d1006867300	1
q840628300_0	d840628300	1
q199704100_0	d199704100	1
q880332800_0	d880332800	1
q235133000_0	d235133000	1
q161698100_0	d161698100	1
q161698100_1	d161698100	1
q1016789000_0	d1016789000	1
q161699000_0	d161699000	1
q161699000_1	d161699000	1
q1113896400_0	d1113896400	1
q463597100_0	d463597100	1
q469599400_0	d469599400	1
q1128627900_0	d1128627900	1
q494411000_0	d494411000	1
q960510600_0	d960510600	1
q213824600_0	d213824600	1
q1051666300_0	d1051666300	1
q99180500_0	d99180500	1
q808663800_0	d808663800	1
q696650100_0	d696650100	1
q696650100_1	d696650100	1
q216446300_0	d216446300	1
q216446300_1	d216446300	1
q684115600_0	d684115600	1
q954927600_0	d954927600	1
q224904700_0	d224904700	1
q216444600_0	d216444600	1
q216444600_1	d216444600	1
q1153099300_0	d1153099300	1
q372917700_0	d372917700	1
q513078500_0	d513078500	1
q89147000_0	d89147000	1
q148050100_0	d148050100	1
q1157604900_0	d1157604900	1
q239358800_0	d239358800	1
q315532200_0	d315532200	1
q520947100_0	d520947100	1
q520947100_1	d520947100	1
q76668000_0	d76668000	1
q76668000_1	d76668000	1
q434639000_0	d434639000	1
q208256400_0	d208256400	1
q519631200_0	d519631200	1
q939121600_0	d939121600	1
q846731600_0	d846731600	1
q690827300_0	d690827300	1
