query_id,query_text,query_type,candidate_doc_id,candidate_title,candidate_excerpt,relevance_0_1_2
q1059896300_0,"Silahlı terör örgütüne üye olma, Silahlı terör örgütüne yardım etme",semantic,d1059896300,"3. Ceza Dairesi - E. 2021/1841, K. 2024/9382","3. Ceza Dairesi         2021/1841 E.  ,  2024/9382 K.  ""İçtihat Metni""  MAHKEMESİ : ... Bölge Adliye Mahkemesi 18. Ceza Dairesi  SUÇ : Silahlı terör örgütüne üye olma, Silahlı terör örgütüne yardım etme  HÜKÜM : İstinaf başvurusunun düzeltilerek esastan reddi kararı, İstinaf başvurusunun esastan red",
q783379000_0,"Davacı, kıdem ve ihbar tazminatı ile yıllık izin ücreti alacaklarının ödetilmesi, karşı davacı ise uğranılan şirket zara",semantic,d783379000,"22. Hukuk Dairesi - E. 2013/2009, K. 2013/21981","(Kapatılan)22. Hukuk Dairesi         2013/2009 E.  ,  2013/21981 K.  ""İçtihat Metni""  MAHKEMESİ :İş Mahkemesi  DAVA : Davacı, kıdem ve ihbar tazminatı ile yıllık izin ücreti alacaklarının ödetilmesi, karşı davacı ise uğranılan şirket zararının tahsili davasının yapılan yargılaması sonunda; asıl dava",
q16097200_0,Madde 51,lexical,d16097200,"10. Hukuk Dairesi - E. 2007/7651, K. 2007/19839","10. Hukuk Dairesi 2007/7651 E., 2007/19839 K.  10. Hukuk Dairesi 2007/7651 E., 2007/19839 K.  **- İŞSİZLİK SİGORTASI  - İŞSİZLİK SİGORTASI PRİMİ**- 4447 S. İŞSİZLİK SİGORTASI KANUNU [ Madde 46 ]  - 4447 S. İŞSİZLİK SİGORTASI KANUNU [ Madde 51 ]  ""İçtihat Metni""  Dava, kapsam dışı personel statüsünde",
q273697700_0,y a r g i t a y k a r a r i,semantic,d273697700,"9. Hukuk Dairesi - E. 2015/36323, K. 2016/19170","9. Hukuk Dairesi         2015/36323 E.  ,  2016/19170 K.  ""İçtihat Metni""  MAHKEMESİ :İŞ MAHKEMESİ  DAVA : Davacı, feshin geçersizliğine, işe iadesine ve yasal sonuçlarına hükmedilmesine karar verilmesini istemiştir.  Yerel mahkemece, davanın kabulüne karar verilmiştir.  Hüküm süresi içinde davalı a",
q105204100_0,Hizmet nedeniyle güveni kötüye kullanma,semantic,d105204100,"15. Ceza Dairesi - E. 2013/24909, K. 2014/17906","15. Ceza Dairesi         2013/24909 E.  ,  2014/17906 K.  ""İçtihat Metni""  Tebliğname No : 15 - 2012/91997  MAHKEMESİ : Ordu 1. Asliye Ceza Mahkemesi  TARİHİ : 01/12/2011  NUMARASI : 2011/235 (E) ve 2011/702 (K)  SUÇ : Hizmet nedeniyle güveni kötüye kullanma  Dosya incelenerek gereği düşünüldü;  Güv",
q579483000_0,Nitelikli dolandırıcılık,semantic,d579483000,"15. Ceza Dairesi - E. 2017/13489, K. 2020/1086","15. Ceza Dairesi         2017/13489 E.  ,  2020/1086 K.  ""İçtihat Metni""  MAHKEMESİ :Ağır Ceza Mahkemesi  SUÇ : Nitelikli dolandırıcılık  HÜKÜM : TCK'nın 158/1-a, 62/1, 52/2, 53 ve CMUK'nın 326/son maddeleri gereğince mahkumiyet  Sanığın nitelikli dolandırıcılık suçundan mahkumiyetine ilişkin hüküm ",
q827347600_1,"Davacı, feshin geçersizliğine ve işe iadesine karar verilmesini istemiştir.",semantic,d827347600,"22. Hukuk Dairesi - E. 2012/642, K. 2012/15743","(Kapatılan)22. Hukuk Dairesi         2012/642 E.  ,  2012/15743 K.  ""İçtihat Metni""  MAHKEMESİ :İş Mahkemesi  DAVA : Davacı, feshin geçersizliğine ve işe iadesine karar verilmesini istemiştir.  Mahkeme, isteğin reddine karar vermiştir.  Hüküm süresi içinde davacı avukatı tarafından temyiz edilmiş ol",
q690059200_0,y a r g i t a y k a r a r i,semantic,d690059200,"3. Hukuk Dairesi - E. 2020/5666, K. 2021/5188","3. Hukuk Dairesi         2020/5666 E.  ,  2021/5188 K.  ""İçtihat Metni""  MAHKEMESİ : ANKARA BÖLGE ADLİYE MAHKEMESİ 3. HUKUK DAİRESİ  İLK DERECE  MAHKEMESİ : ANKARA 12. TÜKETİCİ MAHKEMESİ  Taraflar arasında ilk derece mahkemesinde görülen tazminat davasının kısmen kabulüne dair verilen karar hakkında",
q1038288400_1,madde 119,lexical,d1038288400,"10. Hukuk Dairesi - E. 2023/13772, K. 2024/409","10. Hukuk Dairesi         2023/13772 E.  ,  2024/409 K.  ""İçtihat Metni""  MAHKEMESİ : Ankara Bölge Adliye Mahkemesi 11. Hukuk Dairesi  SAYISI : 2021/2173 E., 2023/758 K.  HÜKÜM/KARAR : Esastan ret  İLK DERECE MAHKEMESİ : Ankara 13. İş Mahkemesi  SAYISI : 2018/467 E., 2021/363 K.  Taraflar arasındaki",
q929402300_0,Kumar oynanması için yer ve imkan sağlama,semantic,d929402300,"2. Ceza Dairesi - E. 2012/660, K. 2012/3051","2. Ceza Dairesi         2012/660 E.  ,  2012/3051 K.  ""İçtihat Metni""  MAHKEMESİ :Sulh Ceza Mahkemesi  SUÇ : Kumar oynanması için yer ve imkan sağlama  HÜKÜM : Mahkumiyet  Dosya incelenerek gereği düşünüldü;  Kumar oynanması için yer ve imkan sağlama suçundan hükmolunan cezanın miktar ve türü ile mü",
q740586600_0,Dolandırıcılığa teşebbüs,semantic,d740586600,"15. Ceza Dairesi - E. 2011/16908, K. 2012/42485","(Kapatılan)15. Ceza Dairesi         2011/16908 E.  ,  2012/42485 K.  ""İçtihat Metni""  MAHKEMESİ :Asliye Ceza Mahkemesi  SUÇ : Dolandırıcılığa teşebbüs  HÜKÜM : Mahkumiyet  Dosya incelenerek gereği düşünüldü;  Sanığın daha önce kasıtlı bir suçtan mahkum olduğu anlaşıldığından, hükmün açıklanmasının g",
q146259800_0,4733 sayılı kanuna muhalefet,semantic,d146259800,"7. Ceza Dairesi - E. 2014/18809, K. 2015/23855","7. Ceza Dairesi         2014/18809 E.  ,  2015/23855 K.  ""İçtihat Metni""  Tebliğname No : 7 - 2013/45709  MAHKEMESİ : Elazığ 1. Asliye Ceza Mahkemesi  TARİHİ : 22/11/2012  NUMARASI : 2011/401 (E) ve 2012/795 (K)  SUÇ : 4733 sayılı kanuna muhalefet  Yerel mahkemece verilen hüküm temyiz edilmekle; baş",
q687860400_0,y a r g i t a y k a r a r i,semantic,d687860400,"22. Hukuk Dairesi - E. 2017/28764, K. 2020/4879","(Kapatılan)22. Hukuk Dairesi         2017/28764 E.  ,  2020/4879 K.  ""İçtihat Metni""  MAHKEMESİ :İş Mahkemesi  DAVA TÜRÜ : ALACAK  Taraflar arasında görülen dava sonucunda verilen kararın, temyizen incelenmesi davacı vekili ile davalılardan Kavuklar İnşaat Otomotiv Akaryakıt A.Ş. vekili tarafından i",
